query,iteration,elapsed_time_seconds,power_shard1_watts,power_shard2_watts,power_shard3_watts,power_total_watts,timestamp
Q2_Minimum_Cost_Supplier,1,0.000,0.019470,0.007803,0.006479,0.033752,2026-01-09T03:20:49.020358
Q2_Minimum_Cost_Supplier,1,2.673,0.413639,0.008004,0.008105,0.429749,2026-01-09T03:20:51.806612
Q2_Minimum_Cost_Supplier,1,5.459,0.927409,0.010549,0.007561,0.945519,2026-01-09T03:20:54.238647
Q2_Minimum_Cost_Supplier,1,7.891,1.146653,0.005499,0.005321,1.157474,2026-01-09T03:20:57.972261
Q2_Minimum_Cost_Supplier,1,11.625,0.914686,0.007479,0.006646,0.928811,2026-01-09T03:21:00.443199
Q2_Minimum_Cost_Supplier,1,14.096,0.884421,0.009451,0.008475,0.902348,2026-01-09T03:21:03.935243
Q2_Minimum_Cost_Supplier,1,17.588,1.202085,0.006910,0.005300,1.214296,2026-01-09T03:21:07.106088
Q2_Minimum_Cost_Supplier,1,20.759,2.638235,0.006452,0.005892,2.650579,2026-01-09T03:21:09.736961
Q2_Minimum_Cost_Supplier,1,23.390,1.400482,0.007098,0.010539,1.418120,2026-01-09T03:21:12.249067
Q2_Minimum_Cost_Supplier,1,25.902,0.975476,0.008896,0.006924,0.991296,2026-01-09T03:21:15.255269
Q2_Minimum_Cost_Supplier,1,28.908,1.005777,0.006300,0.005921,1.017998,2026-01-09T03:21:18.220848
Q2_Minimum_Cost_Supplier,1,31.873,0.976403,0.006116,0.007692,0.990210,2026-01-09T03:21:21.214526
Q2_Minimum_Cost_Supplier,1,34.867,0.684578,0.011504,0.004481,0.700562,2026-01-09T03:21:23.929459
Q2_Minimum_Cost_Supplier,1,37.582,1.026070,0.006378,0.006398,1.038845,2026-01-09T03:21:26.702449
Q2_Minimum_Cost_Supplier,1,40.355,1.164941,0.006448,0.006347,1.177737,2026-01-09T03:21:29.860698
Q2_Minimum_Cost_Supplier,1,43.513,2.619385,0.006725,0.007998,2.634108,2026-01-09T03:21:33.605497
Q2_Minimum_Cost_Supplier,1,47.258,1.112086,0.009090,0.005831,1.127006,2026-01-09T03:21:36.109310
Q2_Minimum_Cost_Supplier,1,49.762,1.022709,0.006165,0.005687,1.034561,2026-01-09T03:21:38.775647
Q2_Minimum_Cost_Supplier,1,52.428,0.980157,0.007266,0.009160,0.996583,2026-01-09T03:21:41.904932
Q2_Minimum_Cost_Supplier,1,55.558,1.040015,0.008301,0.004935,1.053251,2026-01-09T03:21:45.278836
Q2_Minimum_Cost_Supplier,1,58.931,2.606833,0.005555,0.006660,2.619047,2026-01-09T03:21:48.350925
Q2_Minimum_Cost_Supplier,2,0.004,0.119095,0.008466,0.005917,0.133478,2026-01-09T03:21:54.483528
Q2_Minimum_Cost_Supplier,2,3.128,0.605541,0.007300,0.005358,0.618199,2026-01-09T03:21:58.205970
Q2_Minimum_Cost_Supplier,2,6.851,1.023384,0.006285,0.010861,1.040529,2026-01-09T03:22:00.995065
Q2_Minimum_Cost_Supplier,2,9.640,0.995382,0.008936,0.004048,1.008366,2026-01-09T03:22:04.125565
Q2_Minimum_Cost_Supplier,2,12.770,0.950840,0.005887,0.005532,0.962259,2026-01-09T03:22:07.306690
Q2_Minimum_Cost_Supplier,2,15.952,0.990019,0.008322,0.006868,1.005210,2026-01-09T03:22:09.885072
Q2_Minimum_Cost_Supplier,2,18.530,2.654661,0.009046,0.008436,2.672143,2026-01-09T03:22:12.829888
Q2_Minimum_Cost_Supplier,2,21.475,2.315110,0.006907,0.007108,2.329125,2026-01-09T03:22:15.425479
Q2_Minimum_Cost_Supplier,2,24.070,1.000839,0.005433,0.007269,1.013541,2026-01-09T03:22:18.304912
Q2_Minimum_Cost_Supplier,2,26.950,1.002074,0.029737,0.008471,1.040282,2026-01-09T03:22:21.383078
Q2_Minimum_Cost_Supplier,2,30.028,0.933593,0.010213,0.004568,0.948373,2026-01-09T03:22:24.070604
Q2_Minimum_Cost_Supplier,2,32.716,0.854537,0.006881,0.004907,0.866324,2026-01-09T03:22:27.224708
Q2_Minimum_Cost_Supplier,2,35.870,0.970127,0.006455,0.006204,0.982785,2026-01-09T03:22:29.765978
Q2_Minimum_Cost_Supplier,2,38.411,2.130712,0.007632,0.008089,2.146433,2026-01-09T03:22:32.727916
Q2_Minimum_Cost_Supplier,2,41.373,2.661299,0.007873,0.005536,2.674708,2026-01-09T03:22:35.908792
Q2_Minimum_Cost_Supplier,2,44.554,0.994593,0.005473,0.007933,1.007999,2026-01-09T03:22:38.261073
Q2_Minimum_Cost_Supplier,2,46.906,1.008555,0.006288,0.008342,1.023186,2026-01-09T03:22:41.401168
Q2_Minimum_Cost_Supplier,2,50.046,0.918399,0.008630,0.024512,0.951541,2026-01-09T03:22:44.106088
Q2_Minimum_Cost_Supplier,2,52.751,1.036481,0.016783,0.004140,1.057405,2026-01-09T03:22:46.611822
Q2_Minimum_Cost_Supplier,2,55.257,2.210260,0.007350,0.005724,2.223333,2026-01-09T03:22:50.039038
Q2_Minimum_Cost_Supplier,2,58.684,1.318071,0.010344,0.007612,1.336027,2026-01-09T03:22:53.249982
Q2_Minimum_Cost_Supplier,3,0.023,0.032492,0.006989,0.006001,0.045483,2026-01-09T03:22:59.361458
Q2_Minimum_Cost_Supplier,3,3.111,0.516474,0.007411,0.008306,0.532191,2026-01-09T03:23:01.860669
Q2_Minimum_Cost_Supplier,3,5.610,0.927466,0.010640,0.005889,0.943996,2026-01-09T03:23:04.471205
Q2_Minimum_Cost_Supplier,3,8.221,1.065663,0.006050,0.005378,1.077091,2026-01-09T03:23:07.589713
Q2_Minimum_Cost_Supplier,3,11.339,0.926798,0.006866,0.006104,0.939768,2026-01-09T03:23:10.055944
Q2_Minimum_Cost_Supplier,3,13.805,0.725426,0.010327,0.023469,0.759221,2026-01-09T03:23:13.579522
Q2_Minimum_Cost_Supplier,3,17.329,0.766959,0.006618,0.005496,0.779072,2026-01-09T03:23:16.624017
Q2_Minimum_Cost_Supplier,3,20.374,0.878689,0.007754,0.006574,0.893018,2026-01-09T03:23:19.331438
Q2_Minimum_Cost_Supplier,3,23.081,3.018240,0.009739,0.007697,3.035676,2026-01-09T03:23:23.271618
Q2_Minimum_Cost_Supplier,3,27.021,1.478162,0.006729,0.005256,1.490147,2026-01-09T03:23:27.078812
Q2_Minimum_Cost_Supplier,3,30.828,0.808772,0.007041,0.005104,0.820918,2026-01-09T03:23:30.052646
Q2_Minimum_Cost_Supplier,3,33.802,0.850260,0.008958,0.010186,0.869405,2026-01-09T03:23:33.640916
Q2_Minimum_Cost_Supplier,3,37.390,0.892147,0.005140,0.005424,0.902712,2026-01-09T03:23:36.332085
Q2_Minimum_Cost_Supplier,3,40.082,0.917246,0.007926,0.006568,0.931740,2026-01-09T03:23:39.497649
Q2_Minimum_Cost_Supplier,3,43.247,1.155608,0.006764,0.007934,1.170306,2026-01-09T03:23:42.628031
Q2_Minimum_Cost_Supplier,3,46.377,2.603758,0.010114,0.006202,2.620074,2026-01-09T03:23:46.320024
Q2_Minimum_Cost_Supplier,3,50.069,1.374220,0.006749,0.006796,1.387765,2026-01-09T03:23:49.393892
Q2_Minimum_Cost_Supplier,3,53.143,0.847759,0.008840,0.007577,0.864176,2026-01-09T03:23:51.906824
Q2_Minimum_Cost_Supplier,3,55.656,0.981746,0.010052,0.005800,0.997597,2026-01-09T03:23:55.337394
Q2_Minimum_Cost_Supplier,3,59.087,0.903682,0.004986,0.004760,0.913428,2026-01-09T03:23:58.043719
Q2_Minimum_Cost_Supplier,3,61.793,1.579614,0.009077,0.006232,1.594923,2026-01-09T03:24:00.453842
Q2_Minimum_Cost_Supplier,3,64.203,2.695244,0.009519,0.008438,2.713201,2026-01-09T03:24:03.643826
Q2_Minimum_Cost_Supplier,3,67.394,0.310614,0.006639,0.005733,0.322987,2026-01-09T03:24:06.185477
Q2_Minimum_Cost_Supplier,4,0.000,0.033224,0.006325,0.006453,0.046002,2026-01-09T03:24:12.532836
Q2_Minimum_Cost_Supplier,4,3.347,0.607220,0.009790,0.005975,0.622985,2026-01-09T03:24:16.318672
Q2_Minimum_Cost_Supplier,4,7.133,0.828699,0.006775,0.005402,0.840875,2026-01-09T03:24:18.708044
Q2_Minimum_Cost_Supplier,4,9.522,0.917053,0.008837,0.009672,0.935562,2026-01-09T03:24:21.687039
Q2_Minimum_Cost_Supplier,4,12.501,0.639719,0.010440,0.005123,0.655282,2026-01-09T03:24:24.130615
Q2_Minimum_Cost_Supplier,4,14.945,0.608359,0.008380,0.005027,0.621766,2026-01-09T03:24:27.190750
