query,iteration,elapsed_time_seconds,power_shard1_watts,power_shard2_watts,power_shard3_watts,power_total_watts,timestamp
Q2_Minimum_Cost_Supplier,1,0.000,0.022806,0.012982,0.010946,0.046735,2026-01-17T19:07:58.750766
Q2_Minimum_Cost_Supplier,1,2.378,0.275917,0.243863,0.236584,0.756365,2026-01-17T19:08:01.103142
Q2_Minimum_Cost_Supplier,1,4.731,0.276439,0.220173,0.230675,0.727287,2026-01-17T19:08:03.461445
Q2_Minimum_Cost_Supplier,1,7.089,0.306346,0.210872,0.211273,0.728492,2026-01-17T19:08:05.813812
Q2_Minimum_Cost_Supplier,1,9.441,0.260571,0.209837,0.223526,0.693934,2026-01-17T19:08:08.178752
Q2_Minimum_Cost_Supplier,1,11.806,0.267466,0.229277,0.218048,0.714791,2026-01-17T19:08:10.548686
Q2_Minimum_Cost_Supplier,1,14.176,0.270629,0.212572,0.237996,0.721197,2026-01-17T19:08:12.895897
Q2_Minimum_Cost_Supplier,1,16.523,0.306773,0.223754,0.262935,0.793462,2026-01-17T19:08:15.249006
Q2_Minimum_Cost_Supplier,1,18.877,0.261151,0.216130,0.247662,0.724944,2026-01-17T19:08:17.600690
Q2_Minimum_Cost_Supplier,1,21.228,1.014244,0.185088,0.141977,1.341309,2026-01-17T19:08:20.045059
Q2_Minimum_Cost_Supplier,1,23.673,1.226110,0.015631,0.014143,1.255884,2026-01-17T19:08:22.595278
Q2_Minimum_Cost_Supplier,2,0.000,0.044931,0.013376,0.014640,0.072947,2026-01-17T19:08:29.746033
Q2_Minimum_Cost_Supplier,2,2.406,0.226412,0.184293,0.163187,0.573892,2026-01-17T19:08:32.102877
Q2_Minimum_Cost_Supplier,2,4.763,0.264543,0.161024,0.160798,0.586366,2026-01-17T19:08:34.463539
Q2_Minimum_Cost_Supplier,2,7.123,0.216033,0.161474,0.160296,0.537804,2026-01-17T19:08:36.807640
Q2_Minimum_Cost_Supplier,2,9.467,0.213684,0.153857,0.157929,0.525470,2026-01-17T19:08:39.155135
Q2_Minimum_Cost_Supplier,2,11.815,0.219025,0.199529,0.172512,0.591066,2026-01-17T19:08:41.508840
Q2_Minimum_Cost_Supplier,2,14.169,0.206034,0.149756,0.155834,0.511625,2026-01-17T19:08:43.865608
Q2_Minimum_Cost_Supplier,2,16.525,0.238929,0.162976,0.158264,0.560169,2026-01-17T19:08:46.231705
