query,iteration,elapsed_time_seconds,power_shard1_watts,power_shard2_watts,power_shard3_watts,power_total_watts,timestamp
Q10_Returned_Items,22,0.000,0.020724,0.007359,0.007030,0.035113,2026-01-14T15:07:07.660472
Q10_Returned_Items,22,2.437,0.118481,0.095450,0.077958,0.291890,2026-01-14T15:07:10.074858
Q10_Returned_Items,22,4.851,0.118413,0.092661,0.074015,0.285089,2026-01-14T15:07:12.458421
Q10_Returned_Items,22,7.235,0.097583,0.075009,0.071219,0.243811,2026-01-14T15:07:14.863016
Q10_Returned_Items,22,9.639,0.114058,0.073583,0.078250,0.265891,2026-01-14T15:07:17.297344
Q10_Returned_Items,22,12.074,0.109695,0.073129,0.077077,0.259901,2026-01-14T15:07:19.777146
Q10_Returned_Items,22,14.553,0.137685,0.086985,0.087209,0.311880,2026-01-14T15:07:22.254635
Q10_Returned_Items,22,17.031,0.089396,0.049760,0.046459,0.185615,2026-01-14T15:07:24.783580
Q10_Returned_Items,22,19.560,0.087648,0.049275,0.062990,0.199913,2026-01-14T15:07:27.224049
Q10_Returned_Items,22,22.000,0.089966,0.066973,0.063919,0.220858,2026-01-14T15:07:29.660457
Q10_Returned_Items,22,24.437,0.084191,0.069884,0.057670,0.211744,2026-01-14T15:07:32.038142
Q10_Returned_Items,22,26.814,0.095726,0.064017,0.063247,0.222989,2026-01-14T15:07:34.429819
Q10_Returned_Items,22,29.206,0.159547,0.126329,0.159275,0.445151,2026-01-14T15:07:36.884623
Q10_Returned_Items,22,31.661,0.104371,0.072835,0.075874,0.253080,2026-01-14T15:07:39.430291
Q10_Returned_Items,22,34.206,0.091623,0.076512,0.060488,0.228623,2026-01-14T15:07:41.875644
Q10_Returned_Items,22,36.652,0.104939,0.062170,0.071702,0.238811,2026-01-14T15:07:44.289626
Q10_Returned_Items,22,39.066,0.094943,0.056751,0.048234,0.199928,2026-01-14T15:07:46.764015
Q10_Returned_Items,22,41.540,0.096748,0.078704,0.069794,0.245246,2026-01-14T15:07:49.245907
Q10_Returned_Items,22,44.022,0.083435,0.060403,0.049813,0.193651,2026-01-14T15:07:51.714562
Q10_Returned_Items,22,46.491,0.108949,0.075065,0.062870,0.246883,2026-01-14T15:07:54.137765
