query,iteration,elapsed_time_seconds,power_shard1_watts,power_shard2_watts,power_shard3_watts,power_total_watts,timestamp
Q5_Local_Supplier_Volume,1,0.000,0.019270,0.007393,0.006507,0.033170,2026-01-10T23:03:11.458070
Q5_Local_Supplier_Volume,1,2.396,0.221197,0.180008,0.184582,0.585787,2026-01-10T23:03:13.797251
Q5_Local_Supplier_Volume,1,4.735,0.216542,0.158954,0.154852,0.530348,2026-01-10T23:03:16.142404
Q5_Local_Supplier_Volume,1,7.080,0.221485,0.169415,0.142512,0.533412,2026-01-10T23:03:18.480714
Q5_Local_Supplier_Volume,1,9.418,0.246007,0.134442,0.156678,0.537127,2026-01-10T23:03:20.820966
Q5_Local_Supplier_Volume,1,11.759,0.233379,0.138866,0.141523,0.513767,2026-01-10T23:03:23.199169
Q5_Local_Supplier_Volume,1,14.137,0.235696,0.171058,0.139921,0.546675,2026-01-10T23:03:25.539504
Q5_Local_Supplier_Volume,1,16.477,0.236404,0.162429,0.180760,0.579593,2026-01-10T23:03:27.885166
Q5_Local_Supplier_Volume,1,18.823,0.202897,0.140500,0.142477,0.485873,2026-01-10T23:03:30.235307
Q5_Local_Supplier_Volume,1,21.173,0.215527,0.155707,0.179073,0.550307,2026-01-10T23:03:32.589941
Q5_Local_Supplier_Volume,1,23.528,0.193550,0.144073,0.159080,0.496703,2026-01-10T23:03:34.926638
Q5_Local_Supplier_Volume,1,25.864,0.225151,0.166354,0.192914,0.584419,2026-01-10T23:03:37.274794
Q5_Local_Supplier_Volume,1,28.212,0.200264,0.144294,0.135982,0.480540,2026-01-10T23:03:39.629984
Q5_Local_Supplier_Volume,1,30.568,0.211701,0.145520,0.161208,0.518429,2026-01-10T23:03:41.978237
Q5_Local_Supplier_Volume,1,32.916,0.187299,0.129463,0.137270,0.454032,2026-01-10T23:03:44.324133
Q5_Local_Supplier_Volume,1,35.262,0.198971,0.149802,0.157738,0.506510,2026-01-10T23:03:46.674810
Q5_Local_Supplier_Volume,1,37.612,0.175881,0.129017,0.119579,0.424477,2026-01-10T23:03:49.023263
Q5_Local_Supplier_Volume,1,39.961,0.197044,0.172278,0.114371,0.483693,2026-01-10T23:03:51.529509
Q5_Local_Supplier_Volume,1,42.467,2.707092,0.016110,0.016054,2.739256,2026-01-10T23:03:54.817741
Q5_Local_Supplier_Volume,1,45.755,3.039620,0.006420,0.006760,3.052799,2026-01-10T23:03:57.904853
Q5_Local_Supplier_Volume,1,48.842,3.076998,0.009358,0.005272,3.091628,2026-01-10T23:04:00.823448
Q5_Local_Supplier_Volume,1,51.761,3.117363,0.008862,0.009325,3.135550,2026-01-10T23:04:04.201528
Q5_Local_Supplier_Volume,1,55.139,3.099114,0.005842,0.006520,3.111477,2026-01-10T23:04:07.104282
Q5_Local_Supplier_Volume,1,58.042,3.126744,0.007359,0.004116,3.138219,2026-01-10T23:04:09.630722
Q5_Local_Supplier_Volume,1,60.568,3.130943,0.015963,0.003353,3.150258,2026-01-10T23:04:12.008175
Q5_Local_Supplier_Volume,1,62.946,3.152115,0.009577,0.009986,3.171677,2026-01-10T23:04:14.417957
Q5_Local_Supplier_Volume,1,65.356,3.110053,0.007792,0.006412,3.124257,2026-01-10T23:04:17.723027
Q5_Local_Supplier_Volume,1,68.661,3.104101,0.006068,0.005875,3.116044,2026-01-10T23:04:20.252427
Q5_Local_Supplier_Volume,1,71.190,3.145700,0.007796,0.008557,3.162053,2026-01-10T23:04:23.269594
Q5_Local_Supplier_Volume,1,74.207,3.143283,0.006075,0.004755,3.154112,2026-01-10T23:04:26.443388
Q5_Local_Supplier_Volume,1,77.381,3.076467,0.007631,0.004842,3.088940,2026-01-10T23:04:29.573674
Q5_Local_Supplier_Volume,1,80.511,3.069340,0.005893,0.005772,3.081005,2026-01-10T23:04:31.947958
Q5_Local_Supplier_Volume,1,82.886,3.154607,0.010706,0.008035,3.173347,2026-01-10T23:04:34.899319
Q5_Local_Supplier_Volume,1,85.837,3.093274,0.006449,0.005743,3.105467,2026-01-10T23:04:37.683064
Q5_Local_Supplier_Volume,1,88.621,3.107446,0.005866,0.006750,3.120062,2026-01-10T23:04:40.244072
Q5_Local_Supplier_Volume,1,91.182,3.133132,0.012331,0.013531,3.158994,2026-01-10T23:04:42.922089
Q5_Local_Supplier_Volume,1,93.860,3.114516,0.005717,0.006103,3.126336,2026-01-10T23:04:45.839470
Q5_Local_Supplier_Volume,1,96.777,3.096518,0.007098,0.004679,3.108295,2026-01-10T23:04:49.020607
Q5_Local_Supplier_Volume,1,99.958,3.120822,0.008344,0.005268,3.134434,2026-01-10T23:04:51.577741
Q5_Local_Supplier_Volume,1,102.515,3.132463,0.008514,0.007783,3.148760,2026-01-10T23:04:54.852615
Q5_Local_Supplier_Volume,1,105.790,3.085916,0.007831,0.007873,3.101619,2026-01-10T23:04:58.270287
Q5_Local_Supplier_Volume,1,109.208,3.095828,0.004867,0.005100,3.105795,2026-01-10T23:05:01.879322
Q5_Local_Supplier_Volume,1,112.817,3.098709,0.011569,0.008044,3.118322,2026-01-10T23:05:04.232467
Q5_Local_Supplier_Volume,1,115.170,3.173058,0.004610,0.006623,3.184291,2026-01-10T23:05:07.200862
Q5_Local_Supplier_Volume,1,118.138,3.102349,0.007173,0.005631,3.115153,2026-01-10T23:05:10.264267
Q5_Local_Supplier_Volume,1,121.202,3.090494,0.013015,0.010067,3.113576,2026-01-10T23:05:12.681046
Q5_Local_Supplier_Volume,1,123.619,3.190285,0.004528,0.007172,3.201984,2026-01-10T23:05:15.341191
